+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Muddy Puddles. | 泥坑
Talking of tummies, | 说起肚子，
we should cook supper! | 我们应该煮晚饭了！
Yes! Yes! | 是的！是的！
First, we have to collectsticks to make a fire. | 首先，我们必须先找些木柴来生火。
Yipee! | 耶~！
Peppa and George are helping Daddy Pig collect sticks for the campfire. | 佩奇和乔治在帮猪爸爸找木柴用来生火。
Peppa and George are helping Daddy Pig collect sticks for the campfire. | 佩奇和乔治在帮猪爸爸找木柴用来生火。
George, I'll pick up the sticks | 乔治，我来捡木柴，
and you can carry them. | 你来拿着。
Collecting sticks is fun! | 捡木柴很有趣！
Good. That's enough sticks. | 好的。木柴够了。
That's a splendid campfire!Now I'll light it. | 这个篝火堆得很好！现在我来点着它。
Here are the matches. | 这是火柴。
We don't need matches! | 我们不需要火柴！
Daddy, how can you light it without matches? | 爸爸，不要火柴你怎么生火？
I'm going to make fire the old way, | 我准备用古法生火，
by simply rubbing these two sticks together! | 通过简单的摩擦这二根木棍！
Daddy Pig is rubbing the two sticks together to light the campfire. | 猪爸爸不断地摩擦二根木棍去点燃篝火！
Where is the fire, Daddy? | 火在哪里 ，爸爸？
Nearly there... | 就快有了。。。
Hurray! | 太棒了！
Easy as pie! | 小菜一碟！
Now we can heat up the tomato soup. | 现在我们可以加热蕃茄汤了。
Ahhh! Listen to the sounds of nature! | 啊~！来听听大自然的声音！
What is that sound? | 这是什么声音？
That is the sound of crickets chirping. | 那是蟋蟀鸣叫的声音。
What is that? | 那是什么声音呢？
That's an owl. | 那是猫头鹰的叫声。
Look! There it is! | 看！它在那里呢！
Wow... | 哇。。。
And what's that noise? | 那又是什么声音呢？
Oh, I'm not sure. | 哦，我不确定。
It's Daddy's tummy! | 是爸爸肚子！
My tummy rumbling is one of the best sounds of nature! | 我肚子声音是大自然里最好听的一种声音！
It means it's time to eat! | 它意味着该吃饭了！
I love tomato soup! | 我喜欢蕃茄汤！
So do I! | 我也喜欢！
There's another one of Daddy Pig's sounds of nature! | 猪爸爸还有另外一个声音也属于大自然的！
Eh? what? | 呃？怎么啦？
Come on, children, into the tent, | 来吧，孩子们，进帐篷，
it's bedtime. | 是时间睡觉了。
We won't all fit in! | 我们不可能挤进来！
The tent is too little! | 这帐篷太小了！
It will be fine! | 没问题的！
In you go! | 你们都进去！
Move further in, Mummy Pig! | 再进去一点，猪妈妈！
Daddy, you're too big for the tent! | 爸爸，你太胖了进不来的！
Never mind, I'd rather sleep outside anyway. | 不用担心，我会睡在外边的。
Goodnight, Daddy Pig! | 晚安，猪爸爸！
Goodnight, Daddy! | 晚安，爸爸！
Night! Night! | 晚安！
Goodnight, everyone! | 晚安，各位！
Mummy Pig, Peppa and George are sleeping in the tent. | 猪妈妈，佩奇和乔治睡在帐篷里。
Daddy Pig is sleeping outside, under the stars. | 猪爸爸睡在帐篷外的星空下。
Ahh! I love camping! | 啊！我喜欢露营！
Sleeping in the open air with the stars above me! | 睡在空旷野外，上面是满天的星星！
Maybe this wasn't such agood idea after all...brrrrrr | 也许这不是一个好主意。。。不~~
It is morning. | 天亮了。
Daddy! It was lovely and cozy in the tent! | 爸爸！睡在帐篷里真的好舒服！
Oh... Where's Daddy? | 哦。。。爸爸在哪了？
Daddy Pig has gone! | 猪爸爸不见了！
Poor Daddy Pig. | 可怜的猪爸爸。
He must have been cold and wet. | 他一定又冷又湿了。
And now where is he? | 现在他在哪？
What's that sound? | 这是什么声音？
It sounds like snoring! | 听起来像是鼻鼾声！
Daddy Pig! | 猪爸爸！
What? | 怎么呢？
Daddy, you're safe! | 爸爸，你很安全！
Of course I'm safe! | 我当然安全的啦！
I'm an expert at camping! | 我是露营专家啊！
I slept in the car. | 我睡在车里了。
Silly Daddy! | 可怜的爸爸！
I love camping! | 我最喜欢露营！
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Gardening! | 花园种菜！
Peppa and George are playing at Granny Pig and Grandpa Pig's house. | 佩奇和乔治在猪爷爷和猪奶奶家里玩。
Grandpa! Catch! | 爷爷！接住！
Catch! | 接住了！
What's this? | 这是什么？
Dine-Saw! Grrrrr! | 恐-龙！咯~！
A dinosaur! | 原来是只恐龙啊！
Grandpa, what are you doing? | 爷爷，你在干什么？
I'm planting these seeds. | 我在播种啊。
Seeds? What do seeds do? | 种子？种子是干什么的？
Seeds grow into plants. | 种子会长成植物。
I just make a little hole and put the seed in. | 我先挖个小坑然后把种子放进去。 
Then I cover it with earth and water it. 然后盖上土并浇上水。
Everything in my garden grows from tiny seeds like these. | 我花园里所有东西都是从这样小的种子长成的。
Even the big apple tree? | 即使大苹果树也是吗？
Oh! Yes! | 哦！是的！
This tiny seed... | 这小小的种子。。。
...will grow into a little apple tree, like this. | 。。。会长成 一棵小苹果树，像这棵。
Oooh. | 哦~！
And that little apple tree will grow into a big apple tree like this. | 然后这些小苹果树会长成像这样大的苹果树。
Ouch! | 嗷~！
Mmmm ! | 嗯~！
And inside this apple are more seeds. | 这苹果里还有很多这样的种子。
To make more apple trees! | 可以长出更多的苹果树！
Exactly! | 说得没错！
Grandpa! Grandpa! I want to plant a seed! | 爷爷！爷爷！我想种一粒种子！
Would you like to plant a strawberry seed? | 你想不想种粒草莓种子？
Yes, please! | 是的!
This seed will grow into a lovely strawberry plant. | 这个种子会长成一棵可爱的草莓。
First, make a little hole. | 第一步，挖一个小洞。
Then I put the seed in and cover it with earth. | 然后我把种子放在里面再埋上土。
Shall I water it for you? | 需要我来浇水吗？
No! No! I want to water it. | 不要！不要！我想自己来浇水。
Good! Now we wait for it to grow. | 好的！现在我们来等它长大。
Peppa and George are waiting for the seed to grow. | 佩奇和乔治等着种子发芽。
It's not doing anything! | 怎么一点动静也没有！
You will have to be patient, Peppa. | 你要有耐心，佩奇。
It will take a long time to grow. | 它需要很长的时间才能发芽。
Peppa! George! It's time to go home. | 佩奇，乔治，是时候回家了！
But we're waiting formy strawberry plant to grow! | 但是我在等着我的草莓发芽！
I wanted strawberries for teas. | 我还等着草莓来泡茶呢。
Don't worry, Peppa. | 不用担心，佩奇。
Next time you come, | 下次你来的时候，
the seed will have grown into a plant. | 这些种子就会长成草莓苗。
And we will have strawberries! | 我们就有草莓吃了！
Yes. | 是的。
Come on, Peppa. | 来吧，佩奇。
Bye bye, Grandpa.Bye bye, strawberry. | 再见，爷爷。 再见，草莓。
Grandpa Pig looks after Peppa's strawberry plant. | 猪爷爷照看着佩奇的草莓苗。
After many days, | 过了几天，
Grandpa Pig finds a tiny plant growing. | 猪爷爷发现一棵小幼苗长出来了。
Day by day, the plant grows bigger and bigger. | 日复一日，草莓苗越长越大。
Then one day, Grandpa Pigfinds something very special. | 然后有一天，猪爷爷发现了一些特别的东西。
Strawberries! | 是草莓！
Grandpa! We're back! | 爷爷！我们来了！
Peppa and George have come to play again. | 佩奇和乔治又来玩了。
Grandpa! Grandpa! Did my plant grow? | 爷爷！爷爷！我的草莓苗长大了吗？
Yes! Look! | 是的！你看！
Oooo! | 哦~！
Strawberries! | 是草莓！
Thank you, Grandpa! | 谢谢你，爷爷！
Grandpa, can we plant something else? | 爷爷，我们能不能种点别的呢？
Yes! Now, it's George's turn to choose. | 是的！现在，轮到乔治选。了
Yes! You choose, George. | 没错！乔治，你来选吧。
Choose... a carrot! | 选。。。胡萝卜！
Grandpa, I think Georgewants to grow a carrot. | 爷爷，我想乔治想种胡萝卜。
George, would youlike to grow a carrot? | 乔治，你想种胡萝卜？
No! | 不要！
What would you like to grow? | 那你想种什么呢？
George has thought of something he wants to grow. | 乔治想到他想种的东西了。
Dine-Saw! | 恐-龙！
George wants to grow a dinosaur tree! | 乔治想种一棵恐龙树！
Silly George! | 糊涂的乔治！
Dinosaurs don't grow on trees. | 恐龙是不会长成恐龙树的。
Dine-saw. Grrrrr.... | 恐-龙。咯。。。
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是猪妈妈。
And this is Daddy Pig. | 这是猪爸爸。
Peppa Pig. | 小猪佩奇。
Bicycles! | 自行车！
It is a lovely, sunny day, | 今天是令人愉快，阳光灿烂的一天，
and Peppa and George are riding their bicycles. | 佩奇和乔治在骑自行车。
That's a fine pumpkin, Daddy Pig! | 这真是一个很不错的南瓜，猪爸爸！
Daddy Pig is very proud of his pumpkin. | 猪爸爸对他的南瓜感到很自豪。
Pumpkins are the only thing I can grow. | 南瓜是我唯一能种的东西。
Probably because I love pumpkin pie! | 这可能因为我喜欢吃南瓜派吧！
Come on, George. | 快点，乔治。
Danny, Suzy, Rebecca! | 丹尼，苏茜，瑞贝卡！
Peppa and her friends, | 佩奇和她的朋友们，
Danny Dog, Suzy Sheep and Rebecca Rabbit,are riding their bicycles. | 小狗丹尼，小羊苏茜和小兔瑞贝卡在骑自行车。
George is riding his tricycle. | 乔治正骑着自行车。
He's going so slowly. | 他骑得很慢呀。
Let's race to Daddy Pig's pumpkin. | 让我们来进行比赛，看谁先到达猪爸爸的南瓜那里。
If We race to Daddy's Pumpkin, | 如果我们要骑到爸爸的南瓜那里，
We have to be very careful not to bump into it. | 我们得非常小心，千万别撞上去。
Daddy Would be very sad if the pumpkin got broken. | 如果南瓜撞坏了，爸爸会非常伤心的。
Don't Worry, Peppa.. | 不用担心，佩奇。。。
Race you! | 比赛开始！
Peppa and her friends are racing to Daddy Pig's pumpkin! | 佩奇和她的朋友比赛谁先到达南瓜！
Hey! Watch out for my pumpkin!! | 嘿！小心我的南瓜啊！！
Hurray! | 好了！
Peppa! Look out! Daddy's Pumpkin!!!! | 佩奇！小心点！ 爸爸的南瓜啊！！！！
Sorry, Daddy! | 对不起，爸爸！
Look at George! He's going so slowly! | 看看乔治！他骑得很慢啊！
George is still riding a baby bike! | 乔治现在还骑着儿童自行车啊！
Yours is a baby bike, too, Peppa! | 你的也是儿童自行车，佩奇！
You've still got stabilizers! | 你的车子两旁也有辅助轮！
I can ride without my stabilizers. | 我骑的自行车可没有辅助轮的。
Me, too. | 我也是。
And me. | 我也是。
Let's ride up the hill again! | 让我们再骑到山顶去！
Are you coming, Peppa? | 你能一起来吗，佩奇？
No, I think I'll stay here. | 不了，我想我要呆在这里。
See you later! | 一会见！
Bye! | 再见！
Peppa wishes she did not have stabilizers on her bicycle. | 佩奇希望她的自行车上没有辅助轮。
Daddy, I don't want stabilizers anymore. | 爸爸，我不想再有辅助轮了。
Do you think you can ride without them? | 没有辅助轮，你能骑好吗？
Yes. | 是的。
Alright, Peppa. Let's take them off. | 那好吧，佩奇。我们把辅助轮卸掉。
Daddy Pig is taking the stabilizers off Peppa's bicycle. | 猪爸爸把辅助轮从佩奇的自行车上卸掉。
Are you sure you want to ride without stabilizers? | 你确信没有辅助轮你能骑吗？
Yes! | 是的！
You've never done it before. | 可你之前没有做过。
I can do it. I can! I can! | 我可以做到的。我可以！我可以！
Arrgh! | 啊！
It's not funny! | 这一点也不好笑！
Riding Without stabilizers is not easy. | 没有辅助轮的自行车一点也不容易骑。
Would you like some help, Peppa? | 需要帮助吗，佩奇？
Yes, please, Daddy. | 是的，爸爸。
Alright. Ready... | 那好吧。准备。。。
Steady... GO! | 坐好。。。开始！
Don't let go, Daddy! | 爸爸，你不会放开吧！
Don't worry. I've got you. | 不用担心，我会抓紧你的。
You're doing really well, Peppa. | 你做得真的很好，佩奇。
Hold on, Daddy! | 抓紧，爸爸！
Just keep peddling. | 你只要一直踩踏板。
Peppa is riding on her own, without stabilizers! | 佩奇能自己骑自行车，不需要辅助轮了！
Daddy! You let go! | 爸爸！你放手了！
You've been cycling on your own for ages. | 你已经一个人骑了很久了。
Have I? | 是吗？
You're really very good at it! | 你真的骑得很好！
Am I? | 是吗？
Oh, I can do it! Look at me! | 哦，我能做到了！看看我！
Look at me! I can ride my bike properly. | 看看我！我能自己骑两轮自行车了。
Danny! Suzy! Rebecca! Look! | 丹尼！苏茜！瑞贝卡！看！
I don't need my stabilizers anymore! | 我不再需要骑有辅助轮的自行车了！
